C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.1_M1.xdf;03.10.19;11:51:52;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,02;6,12;0,02;7,49;320,00;0,59;0,00;320,00;0,38;-0,00;320,00;0,01;-0,01;320,00;0,02;-0,01;320,00;0,17;320,00;-0,17
;0,02;3,71;0,02;3,80;324,00;0,60;0,00;324,00;0,38;-0,00;324,00;0,01;-0,00;324,00;0,01;-0,00;324,00;0,24;324,00;-0,24
;0,02;1,57;0,02;-0,78;328,00;0,61;0,00;328,00;0,38;-0,00;328,00;-0,00;-0,03;328,00;-0,00;-0,04;328,00;0,18;328,00;-0,18
;0,02;-6,08;0,02;-3,12;332,00;0,62;0,00;332,00;0,39;-0,00;332,00;-0,01;0,03;332,00;-0,01;0,03;332,00;0,16;332,00;-0,16
;0,02;0,19;0,02;-7,91;336,00;0,63;0,00;336,00;0,39;-0,00;336,00;0,01;0,02;336,00;0,01;0,02;336,00;0,21;336,00;-0,21
;0,02;2,09;0,02;-3,57;340,00;0,64;0,00;340,00;0,39;-0,00;340,00;-0,01;-0,04;340,00;-0,01;-0,05;340,00;0,18;340,00;-0,18
;0,02;0,74;0,02;5,35;344,00;0,65;0,00;344,00;0,39;-0,00;344,00;0,00;0,06;344,00;0,00;0,07;344,00;0,04;344,00;-0,04
;0,02;2,80;0,02;10,71;348,00;0,66;0,00;348,00;0,39;-0,00;348,00;0,00;-0,06;348,00;0,00;-0,08;348,00;0,12;348,00;-0,12
;0,02;-1,83;0,02;4,86;352,00;0,68;0,00;352,00;0,39;-0,00;352,00;0,02;0,01;352,00;0,02;0,01;352,00;0,14;352,00;-0,14
;0,02;4,78;0,02;-4,91;356,00;0,69;0,00;356,00;0,39;-0,00;356,00;-0,06;0,02;356,00;-0,07;0,03;356,00;0,07;356,00;-0,07
;0,02;-2,41;0,02;-6,76;360,00;0,70;0,00;360,00;0,40;-0,00;360,00;0,07;-0,02;360,00;0,10;-0,03;360,00;0,06;360,00;-0,06
;0,02;-5,89;0,02;-3,21;364,00;0,71;0,00;364,00;0,40;-0,00;364,00;-0,07;0,04;364,00;-0,09;0,05;364,00;0,01;364,00;-0,01
;0,02;-3,50;0,02;-2,26;368,00;0,73;-0,00;368,00;0,40;0,00;368,00;0,03;-0,03;368,00;0,04;-0,04;368,00;-0,00;368,00;0,00
;0,02;-7,35;0,02;-3,13;372,00;0,74;0,00;372,00;0,40;-0,00;372,00;-0,01;0,01;372,00;-0,01;0,02;372,00;0,05;372,00;-0,05
;0,02;-3,18;0,02;-7,76;376,00;0,75;-0,00;376,00;0,40;0,00;376,00;-0,00;0,02;376,00;-0,00;0,03;376,00;-0,00;376,00;0,00
;0,02;-0,65;0,02;-7,14;380,00;0,77;-0,00;380,00;0,40;0,00;380,00;-0,04;-0,04;380,00;-0,05;-0,06;380,00;-0,03;380,00;0,03
;0,02;-4,28;0,02;-0,55;384,00;0,78;-0,00;384,00;0,40;0,00;384,00;0,04;0,01;384,00;0,06;0,01;384,00;-0,04;384,00;0,04
;0,02;-2,88;0,02;2,96;388,00;0,80;-0,00;388,00;0,40;0,00;388,00;0,06;0,01;388,00;0,09;0,02;388,00;-0,07;388,00;0,07
;0,02;-0,70;0,02;-0,51;392,00;0,81;-0,00;392,00;0,40;0,00;392,00;-0,12;0,03;392,00;-0,17;0,04;392,00;-0,07;392,00;0,07
;0,02;2,29;0,02;-2,91;396,00;0,82;-0,00;396,00;0,40;0,00;396,00;0,11;-0,06;396,00;0,16;-0,08;396,00;-0,07;396,00;0,07
;0,02;0,18;0,02;-0,95;400,00;0,84;-0,00;400,00;0,40;0,00;400,00;-0,08;0,04;400,00;-0,11;0,06;400,00;-0,12;400,00;0,12
;0,02;0,31;0,02;2,77;404,00;0,85;-0,00;404,00;0,40;0,00;404,00;0,04;0,01;404,00;0,06;0,02;404,00;-0,09;404,00;0,09
;0,02;1,31;0,02;3,50;408,00;0,87;-0,00;408,00;0,40;0,00;408,00;-0,02;-0,09;408,00;-0,03;-0,13;408,00;-0,21;408,00;0,21
;0,03;1,20;0,03;2,29;412,00;0,89;-0,00;412,00;0,40;0,00;412,00;-0,02;0,08;412,00;-0,03;0,12;412,00;-0,31;412,00;0,31
;0,03;3,50;0,03;-0,47;416,00;0,90;-0,00;416,00;0,40;0,00;416,00;-0,05;-0,13;416,00;-0,08;-0,19;416,00;-0,27;416,00;0,27
;0,03;3,17;0,03;1,56;420,00;0,92;-0,00;420,00;0,39;0,00;420,00;0,17;0,29;420,00;0,25;0,43;420,00;-0,22;420,00;0,22
;0,03;-3,82;0,03;3,60;424,00;0,93;-0,00;424,00;0,39;0,00;424,00;-0,10;-0,27;424,00;-0,15;-0,41;424,00;-0,23;424,00;0,23
;0,03;-2,89;0,03;-0,78;428,00;0,95;-0,01;428,00;0,39;0,00;428,00;-0,03;0,07;428,00;-0,05;0,11;428,00;-0,37;428,00;0,37
;0,03;-4,54;0,03;-8,28;432,00;0,97;-0,01;432,00;0,39;0,00;432,00;0,11;0,03;432,00;0,18;0,05;432,00;-0,38;432,00;0,38
;0,03;-6,79;0,03;-10,85;436,00;0,98;-0,01;436,00;0,39;0,00;436,00;-0,06;-0,00;436,00;-0,09;-0,00;436,00;-0,34;436,00;0,34
;0,03;-7,78;0,03;-9,60;440,00;1,01;-0,01;440,00;0,39;0,00;440,00;-0,10;0,03;440,00;-0,16;0,06;440,00;-0,31;440,00;0,31
;0,03;-6,87;0,03;-5,66;444,00;1,02;-0,01;444,00;0,39;0,00;444,00;0,13;-0,14;444,00;0,20;-0,23;444,00;-0,33;444,00;0,33
;0,03;-7,84;0,03;-3,45;448,00;1,04;-0,01;448,00;0,39;0,00;448,00;-0,02;0,11;448,00;-0,04;0,17;448,00;-0,35;448,00;0,35
;0,03;-6,42;0,03;-5,36;452,00;1,06;-0,01;452,00;0,38;0,00;452,00;-0,01;-0,00;452,00;-0,02;-0,01;452,00;-0,42;452,00;0,42
;0,03;-0,94;0,03;-8,10;456,00;1,08;-0,01;456,00;0,38;0,00;456,00;0,01;-0,00;456,00;0,02;-0,00;456,00;-0,50;456,00;0,50
;0,03;-1,99;0,03;-2,78;460,00;1,10;-0,01;460,00;0,38;0,00;460,00;-0,01;0,01;460,00;-0,02;0,02;460,00;-0,45;460,00;0,45
;0,03;-7,85;0,03;1,74;464,00;1,12;-0,01;464,00;0,38;0,00;464,00;-0,02;-0,04;464,00;-0,03;-0,08;464,00;-0,54;464,00;0,54
;0,03;0,97;0,03;-1,84;468,00;1,15;-0,01;468,00;0,37;0,00;468,00;0,01;0,04;468,00;0,01;0,07;468,00;-0,47;468,00;0,47
;0,03;2,83;0,03;-3,10;472,00;1,17;-0,01;472,00;0,37;0,00;472,00;0,02;-0,02;472,00;0,04;-0,04;472,00;-0,56;472,00;0,56
;0,03;1,79;0,03;2,12;476,00;1,19;-0,01;476,00;0,37;0,00;476,00;-0,03;0,01;476,00;-0,05;0,01;476,00;-0,57;476,00;0,57
;0,03;3,00;0,03;6,59;480,00;1,22;-0,01;480,00;0,37;0,00;480,00;0,03;-0,01;480,00;0,05;-0,02;480,00;-0,63;480,00;0,63
;0,03;4,16;0,03;7,16;484,00;1,24;-0,02;484,00;0,36;0,00;484,00;-0,02;0,02;484,00;-0,03;0,04;484,00;-0,76;484,00;0,76
;0,03;4,58;0,03;4,85;488,00;1,27;-0,02;488,00;0,36;0,00;488,00;0,01;-0,02;488,00;0,02;-0,04;488,00;-0,71;488,00;0,71
;0,03;0,91;0,03;1,42;492,00;1,29;-0,02;492,00;0,36;0,01;492,00;0,01;0,01;492,00;0,01;0,03;492,00;-0,82;492,00;0,82
;0,03;3,82;0,03;-2,09;496,00;1,32;-0,02;496,00;0,35;0,00;496,00;-0,02;-0,00;496,00;-0,04;-0,01;496,00;-0,77;496,00;0,77
;0,03;3,20;0,03;1,13;500,00;1,35;-0,02;500,00;0,35;0,01;500,00;0,00;0,00;500,00;0,00;0,00;500,00;-0,84;500,00;0,84
