C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,02;-3,22;0,02;-0,23;284,00;0,35;0,00;284,00;0,50;-0,01;284,00;-0,00;-0,01;284,00;-0,00;-0,01;284,00;0,65;284,00;-0,65
;0,02;-1,87;0,02;-2,83;288,00;0,35;0,00;288,00;0,51;-0,01;288,00;-0,00;0,01;288,00;-0,00;0,01;288,00;0,71;288,00;-0,71
;0,02;-0,72;0,02;-1,19;292,00;0,36;0,00;292,00;0,52;-0,01;292,00;0,00;-0,00;292,00;0,00;-0,00;292,00;0,70;292,00;-0,70
;0,02;-0,62;0,02;-0,29;296,00;0,36;0,00;296,00;0,53;-0,01;296,00;0,00;-0,00;296,00;0,00;-0,00;296,00;0,64;296,00;-0,64
;0,02;-0,12;0,02;-0,58;300,00;0,36;0,00;300,00;0,54;-0,01;300,00;-0,00;0,01;300,00;-0,00;0,01;300,00;0,63;300,00;-0,63
;0,02;-0,02;0,02;1,56;304,00;0,37;0,00;304,00;0,55;-0,01;304,00;-0,01;-0,01;304,00;-0,01;-0,01;304,00;0,65;304,00;-0,65
;0,02;1,93;0,02;2,17;308,00;0,37;0,00;308,00;0,56;-0,01;308,00;0,01;0,00;308,00;0,01;0,00;308,00;0,64;308,00;-0,64
;0,02;3,69;0,02;1,62;312,00;0,37;0,00;312,00;0,57;-0,01;312,00;-0,00;0,00;312,00;-0,00;0,00;312,00;0,67;312,00;-0,67
;0,02;3,74;0,02;2,57;316,00;0,37;0,00;316,00;0,58;-0,01;316,00;0,01;-0,00;316,00;0,01;-0,00;316,00;0,71;316,00;-0,71
;0,02;1,77;0,02;1,75;320,00;0,38;0,00;320,00;0,59;-0,01;320,00;-0,01;-0,01;320,00;-0,01;-0,01;320,00;0,71;320,00;-0,71
;0,02;0,60;0,02;2,30;324,00;0,38;0,00;324,00;0,60;-0,01;324,00;0,00;0,02;324,00;0,00;0,01;324,00;0,71;324,00;-0,71
